formula,corr_train,corr_test,error_corr
np.log(tm)~KL+T+E+protein_length+S+I+pH+KS+ST+Q,0.24063811047027897,0.25477348309573306,0.014135372625454085
np.log(tm)~KL+T+E+protein_length+S+I+pH+KS+K+N,0.25119833331965336,0.25823295922848427,0.007034625908830916
np.log(tm)~KL+T+E+protein_length+S+I+pH+KS+K+C,0.2515936413982593,0.25988829846018235,0.00829465706192306
np.log(tm)~KL+T+E+protein_length+S+I+pH+KS+K+Q,0.25215867940480313,0.25146499942499495,0.0006936799798081816
np.log(tm)~KL+T+E+protein_length+S+I+pH+KS+N+C,0.24043396669954303,0.2577834159462529,0.01734944924670989
np.log(tm)~KL+T+E+protein_length+S+I+pH+KS+N+Q,0.23911870811610642,0.25053727875001586,0.011418570633909442
np.log(tm)~KL+T+E+protein_length+S+I+pH+KS+C+Q,0.23943236101878632,0.25228768845068605,0.012855327431899738
np.log(tm)~KL+T+E+protein_length+S+I+pH+ST+K+N,0.25134062267474044,0.26151909015983094,0.010178467485090492
np.log(tm)~KL+T+E+protein_length+S+I+pH+ST+K+C,0.25239871120315494,0.2643959788003919,0.01199726759723696
np.log(tm)~KL+T+E+protein_length+S+I+pH+ST+K+Q,0.25300220437603227,0.25729090109277086,0.004288696716738594
np.log(tm)~KL+T+E+protein_length+S+I+pH+ST+N+C,0.23349558548073018,0.2604150789564609,0.026919493475730694
np.log(tm)~KL+T+E+protein_length+S+I+pH+ST+N+Q,0.23152369937118988,0.2559357425216616,0.02441204315047174
np.log(tm)~KL+T+E+protein_length+S+I+pH+ST+C+Q,0.23176489499894118,0.25925733601131895,0.027492441012377772
np.log(tm)~KL+T+E+protein_length+S+I+pH+K+N+C,0.24868068894124795,0.25967578500440275,0.010995096063154797
np.log(tm)~KL+T+E+protein_length+S+I+pH+K+N+Q,0.24885056561531063,0.2518514472670638,0.00300088165175319
np.log(tm)~KL+T+E+protein_length+S+I+pH+K+C+Q,0.25029577703366523,0.25445112949067944,0.004155352457014205
np.log(tm)~KL+T+E+protein_length+S+I+pH+N+C+Q,0.2289280813492308,0.25322885730851735,0.024300775959286564
np.log(tm)~KL+T+E+protein_length+S+I+D+SK+KS+ST,0.2605703968466152,0.2805318042750287,0.019961407428413513
np.log(tm)~KL+T+E+protein_length+S+I+D+SK+KS+K,0.2623388593124104,0.2728357761153742,0.010496916802963774
np.log(tm)~KL+T+E+protein_length+S+I+D+SK+KS+N,0.2575250253121008,0.275015801052535,0.017490775740434172
np.log(tm)~KL+T+E+protein_length+S+I+D+SK+KS+C,0.25773412326809486,0.2779842976283862,0.020250174360291362
np.log(tm)~KL+T+E+protein_length+S+I+D+SK+KS+Q,0.2580622685464332,0.26955043858826816,0.011488170041834944
np.log(tm)~KL+T+E+protein_length+S+I+D+SK+ST+K,0.2648100772770675,0.2781621633975787,0.013352086120511197
np.log(tm)~KL+T+E+protein_length+S+I+D+SK+ST+N,0.2571167854770218,0.2815743106992113,0.02445752522218947
np.log(tm)~KL+T+E+protein_length+S+I+D+SK+ST+C,0.25698062911205916,0.2835813479683378,0.026600718856278627
np.log(tm)~KL+T+E+protein_length+S+I+D+SK+ST+Q,0.2572269464614517,0.2771923725565783,0.01996542609512658
np.log(tm)~KL+T+E+protein_length+S+I+D+SK+K+N,0.2610227576015737,0.2726084670246331,0.01158570942305942
np.log(tm)~KL+T+E+protein_length+S+I+D+SK+K+C,0.2613829805969962,0.2737509353022647,0.012367954705268469
np.log(tm)~KL+T+E+protein_length+S+I+D+SK+K+Q,0.26154889236925605,0.26558382021117993,0.004034927841923885
np.log(tm)~KL+T+E+protein_length+S+I+D+SK+N+C,0.2532624942291004,0.27810322726304737,0.02484073303394696
np.log(tm)~KL+T+E+protein_length+S+I+D+SK+N+Q,0.2516019533175345,0.2701627611018303,0.018560807784295807
np.log(tm)~KL+T+E+protein_length+S+I+D+SK+C+Q,0.25259575552602803,0.2721402337855576,0.01954447825952954
np.log(tm)~KL+T+E+protein_length+S+I+D+KS+ST+K,0.26380241750277006,0.2730479548024693,0.009245537299699236
np.log(tm)~KL+T+E+protein_length+S+I+D+KS+ST+N,0.2543956070538662,0.27230721840754313,0.017911611353676915
np.log(tm)~KL+T+E+protein_length+S+I+D+KS+ST+C,0.2552588843981603,0.27455825772852166,0.019299373330361358
np.log(tm)~KL+T+E+protein_length+S+I+D+KS+ST+Q,0.2553300700737019,0.26794067895986856,0.012610608886166663
np.log(tm)~KL+T+E+protein_length+S+I+D+KS+K+N,0.2603722869001752,0.2681234163559537,0.007751129455778494
np.log(tm)~KL+T+E+protein_length+S+I+D+KS+K+C,0.2611381337995803,0.2693853080960262,0.008247174296445892
np.log(tm)~KL+T+E+protein_length+S+I+D+KS+K+Q,0.26143280364109034,0.26134791409252744,8.488954856289421e-05
np.log(tm)~KL+T+E+protein_length+S+I+D+KS+N+C,0.25170778620086043,0.26974190565049017,0.018034119449629737
np.log(tm)~KL+T+E+protein_length+S+I+D+KS+N+Q,0.25037215708173227,0.2621378793946145,0.011765722312882254
np.log(tm)~KL+T+E+protein_length+S+I+D+KS+C+Q,0.2520420117547137,0.2636703916212023,0.011628379866488625
np.log(tm)~KL+T+E+protein_length+S+I+D+ST+K+N,0.26162583187912836,0.2726197931072897,0.01099396122816132
np.log(tm)~KL+T+E+protein_length+S+I+D+ST+K+C,0.2630075710809312,0.274374873815662,0.0113673027347308
np.log(tm)~KL+T+E+protein_length+S+I+D+ST+K+Q,0.2637591026356821,0.2678420996545727,0.004082997018890588
np.log(tm)~KL+T+E+protein_length+S+I+D+ST+N+C,0.24858515311762386,0.27644834321115,0.02786319009352617
np.log(tm)~KL+T+E+protein_length+S+I+D+ST+N+Q,0.2470364933763486,0.2722558801895676,0.025219386813219002
np.log(tm)~KL+T+E+protein_length+S+I+D+ST+C+Q,0.24822636886386068,0.27409860274837694,0.02587223388451626
np.log(tm)~KL+T+E+protein_length+S+I+D+K+N+C,0.25858501275583734,0.26859321113186035,0.010008198376023014
np.log(tm)~KL+T+E+protein_length+S+I+D+K+N+Q,0.2579298565320486,0.2612341881319877,0.003304331599939092
np.log(tm)~KL+T+E+protein_length+S+I+D+K+C+Q,0.25982278142550547,0.26336811963608037,0.0035453382105749
np.log(tm)~KL+T+E+protein_length+S+I+D+N+C+Q,0.24330496985493008,0.2674753392146917,0.024170369359761606
np.log(tm)~KL+T+E+protein_length+S+I+SK+KS+ST+K,0.26231569614350553,0.26951670693957935,0.007201010796073826
np.log(tm)~KL+T+E+protein_length+S+I+SK+KS+ST+N,0.25750177382132133,0.27328732443964804,0.015785550618326705
np.log(tm)~KL+T+E+protein_length+S+I+SK+KS+ST+C,0.25705111985893697,0.2766551025470279,0.019603982688090937
np.log(tm)~KL+T+E+protein_length+S+I+SK+KS+ST+Q,0.25501339740702933,0.26750349747874824,0.012490100071718913
np.log(tm)~KL+T+E+protein_length+S+I+SK+KS+K+N,0.2611688208446278,0.26669991048261715,0.005531089637989373
np.log(tm)~KL+T+E+protein_length+S+I+SK+KS+K+C,0.260775696004116,0.2685262514656276,0.007750555461511599
np.log(tm)~KL+T+E+protein_length+S+I+SK+KS+K+Q,0.2602794647079515,0.2586652448884443,0.0016142198195072122
np.log(tm)~KL+T+E+protein_length+S+I+SK+KS+N+C,0.25525644395773434,0.27169434034883894,0.0164378963911046
np.log(tm)~KL+T+E+protein_length+S+I+SK+KS+N+Q,0.25325385196088,0.2623403169513177,0.009086464990437693
np.log(tm)~KL+T+E+protein_length+S+I+SK+KS+C+Q,0.2532694054754668,0.265000171754116,0.011730766278649218
np.log(tm)~KL+T+E+protein_length+S+I+SK+ST+K+N,0.26280741800312846,0.27159793276168703,0.008790514758558576
np.log(tm)~KL+T+E+protein_length+S+I+SK+ST+K+C,0.26310493371545757,0.2737326691698034,0.01062773545434581
np.log(tm)~KL+T+E+protein_length+S+I+SK+ST+K+Q,0.26158921694606596,0.26459532579267947,0.003006108846613509
np.log(tm)~KL+T+E+protein_length+S+I+SK+ST+N+C,0.25413829452358405,0.27750565212427963,0.023367357600695582
np.log(tm)~KL+T+E+protein_length+S+I+SK+ST+N+Q,0.25243567776534054,0.27175727968802293,0.019321601922682397
np.log(tm)~KL+T+E+protein_length+S+I+SK+ST+C+Q,0.2521361426330764,0.27499145800951286,0.02285531537643648
np.log(tm)~KL+T+E+protein_length+S+I+SK+K+N+C,0.26000810076289954,0.26899344749343956,0.008985346730540023
np.log(tm)~KL+T+E+protein_length+S+I+SK+K+N+Q,0.25833871037570993,0.2588627583313336,0.0005240479556236632
np.log(tm)~KL+T+E+protein_length+S+I+SK+K+C+Q,0.2589501515299473,0.2621585208810189,0.0032083693510715494
np.log(tm)~KL+T+E+protein_length+S+I+SK+N+C+Q,0.24926536269673222,0.26785591021634175,0.018590547519609535
np.log(tm)~KL+T+E+protein_length+S+I+KS+ST+K+N,0.26182826662539416,0.26664433485371,0.004816068228315817
np.log(tm)~KL+T+E+protein_length+S+I+KS+ST+K+C,0.2624049143560157,0.26977085979275184,0.007365945436736132
np.log(tm)~KL+T+E+protein_length+S+I+KS+ST+K+Q,0.2618441068899501,0.2603306677307187,0.0015134391592313556
np.log(tm)~KL+T+E+protein_length+S+I+KS+ST+N+C,0.2522817740250176,0.26892756789796984,0.01664579387295223
np.log(tm)~KL+T+E+protein_length+S+I+KS+ST+N+Q,0.24983149611711833,0.26125091337306544,0.011419417255947112
np.log(tm)~KL+T+E+protein_length+S+I+KS+ST+C+Q,0.2504682980636912,0.26413572461959023,0.013667426555899032
np.log(tm)~KL+T+E+protein_length+S+I+KS+K+N+C,0.25975340246142437,0.26505034423108254,0.00529694176965817
np.log(tm)~KL+T+E+protein_length+S+I+KS+K+N+Q,0.2585467446446717,0.2551938058054713,0.0033529388392004034
np.log(tm)~KL+T+E+protein_length+S+I+KS+K+C+Q,0.2597848641185604,0.25804582871094706,0.0017390354076133319
np.log(tm)~KL+T+E+protein_length+S+I+KS+N+C+Q,0.2475018719857004,0.25846746809434346,0.010965596108643061
np.log(tm)~KL+T+E+protein_length+S+I+ST+K+N+C,0.261055888640802,0.2699674551330407,0.008911566492238732
np.log(tm)~KL+T+E+protein_length+S+I+ST+K+N+Q,0.2595949154314101,0.2607809791647399,0.0011860637333298008
np.log(tm)~KL+T+E+protein_length+S+I+ST+K+C+Q,0.26117839796666775,0.2645044997680279,0.0033261018013601706
np.log(tm)~KL+T+E+protein_length+S+I+ST+N+C+Q,0.24256616041552911,0.2669823006179226,0.024416140202393494
np.log(tm)~KL+T+E+protein_length+S+I+K+N+C+Q,0.25684941226078556,0.25868237087584495,0.001832958615059388
np.log(tm)~KL+T+E+protein_length+S+pH+D+SK+KS+ST,0.2536922015312226,0.27480076081079213,0.021108559279569505
np.log(tm)~KL+T+E+protein_length+S+pH+D+SK+KS+K,0.25561610419221187,0.2683663089585723,0.012750204766360407
np.log(tm)~KL+T+E+protein_length+S+pH+D+SK+KS+N,0.25023711367710366,0.2695887874308304,0.01935167375372676
np.log(tm)~KL+T+E+protein_length+S+pH+D+SK+KS+C,0.2508856198606812,0.271747929265146,0.02086230940446482
np.log(tm)~KL+T+E+protein_length+S+pH+D+SK+KS+Q,0.25285107446942734,0.26512150928571177,0.012270434816284426
np.log(tm)~KL+T+E+protein_length+S+pH+D+SK+ST+K,0.25766718478829265,0.2738930298174607,0.016225845029168073
np.log(tm)~KL+T+E+protein_length+S+pH+D+SK+ST+N,0.2495097787596457,0.2755081021829632,0.025998323423317482
np.log(tm)~KL+T+E+protein_length+S+pH+D+SK+ST+C,0.25036028620586714,0.27829096409703225,0.0279306778911651
np.log(tm)~KL+T+E+protein_length+S+pH+D+SK+ST+Q,0.2529791825147178,0.2741076111865917,0.021128428671873922
np.log(tm)~KL+T+E+protein_length+S+pH+D+SK+K+N,0.2533771597058671,0.2684100204146294,0.015032860708762308
np.log(tm)~KL+T+E+protein_length+S+pH+D+SK+K+C,0.2542398045603922,0.2697245464265741,0.015484741866181928
np.log(tm)~KL+T+E+protein_length+S+pH+D+SK+K+Q,0.2565203243427487,0.2628174478948952,0.006297123552146511
np.log(tm)~KL+T+E+protein_length+S+pH+D+SK+N+C,0.24576479929325737,0.27199531790473447,0.0262305186114771
np.log(tm)~KL+T+E+protein_length+S+pH+D+SK+N+Q,0.24693832178539024,0.26712383532339307,0.020185513538002825
np.log(tm)~KL+T+E+protein_length+S+pH+D+SK+C+Q,0.2480980705713657,0.2692382022757363,0.021140131704370596
np.log(tm)~KL+T+E+protein_length+S+pH+D+KS+ST+K,0.2568597981766723,0.26700189910692623,0.010142100930253917
np.log(tm)~KL+T+E+protein_length+S+pH+D+KS+ST+N,0.24720912804906517,0.2658931683976084,0.018684040348543235
np.log(tm)~KL+T+E+protein_length+S+pH+D+KS+ST+C,0.24820470904644945,0.2679806467953061,0.019775937748856637
np.log(tm)~KL+T+E+protein_length+S+pH+D+KS+ST+Q,0.2498332110197876,0.26428848516629316,0.014455274146505576
np.log(tm)~KL+T+E+protein_length+S+pH+D+KS+K+N,0.25305630489776815,0.2628099158249304,0.00975361092716226
np.log(tm)~KL+T+E+protein_length+S+pH+D+KS+K+C,0.2539735404499729,0.26363172398899964,0.009658183539026755
np.log(tm)~KL+T+E+protein_length+S+pH+D+KS+K+Q,0.25616138193139604,0.2573409293691892,0.001179547437793138
np.log(tm)~KL+T+E+protein_length+S+pH+D+KS+N+C,0.24446433022056796,0.26299053775659575,0.018526207536027794
np.log(tm)~KL+T+E+protein_length+S+pH+D+KS+N+Q,0.2452994923507824,0.25871347366133124,0.013413981310548828
np.log(tm)~KL+T+E+protein_length+S+pH+D+KS+C+Q,0.24659867059065982,0.2601920115384115,0.013593340947751664
np.log(tm)~KL+T+E+protein_length+S+pH+D+ST+K+N,0.25374154917309727,0.2669419124659703,0.013200363292873052
np.log(tm)~KL+T+E+protein_length+S+pH+D+ST+K+C,0.2553794548238689,0.2693087813333801,0.013929326509511175
np.log(tm)~KL+T+E+protein_length+S+pH+D+ST+K+Q,0.25786852622476514,0.2638377621381867,0.005969235913421578
np.log(tm)~KL+T+E+protein_length+S+pH+D+ST+N+C,0.23897398761309788,0.2672099958631958,0.02823600825009795
np.log(tm)~KL+T+E+protein_length+S+pH+D+ST+N+Q,0.2402831882093349,0.26570653670395505,0.025423348494620163
np.log(tm)~KL+T+E+protein_length+S+pH+D+ST+C+Q,0.2415113652986306,0.2675333570726173,0.026021991773986675
np.log(tm)~KL+T+E+protein_length+S+pH+D+K+N+C,0.25035657864242716,0.26312031473823067,0.012763736095803502
np.log(tm)~KL+T+E+protein_length+S+pH+D+K+N+Q,0.25223268796048215,0.2581876177933851,0.0059549298329029665
np.log(tm)~KL+T+E+protein_length+S+pH+D+K+C+Q,0.2535496588644684,0.25965182665122705,0.00610216778675865
np.log(tm)~KL+T+E+protein_length+S+pH+D+N+C+Q,0.23570960779756162,0.2609128012876176,0.02520319349005601
np.log(tm)~KL+T+E+protein_length+S+pH+SK+KS+ST+K,0.25542686936039544,0.26538115479672636,0.009954285436330923
np.log(tm)~KL+T+E+protein_length+S+pH+SK+KS+ST+N,0.24910934562848894,0.26614586307769156,0.01703651744920262
np.log(tm)~KL+T+E+protein_length+S+pH+SK+KS+ST+C,0.24881228091708046,0.26971132261266534,0.020899041695584875
np.log(tm)~KL+T+E+protein_length+S+pH+SK+KS+ST+Q,0.24911382162688628,0.26266655414805945,0.013552732521173172
np.log(tm)~KL+T+E+protein_length+S+pH+SK+KS+K+N,0.25408572035648735,0.2626180252813214,0.008532304924834033
np.log(tm)~KL+T+E+protein_length+S+pH+SK+KS+K+C,0.2542517905776184,0.2646880670439577,0.010436276466339323
np.log(tm)~KL+T+E+protein_length+S+pH+SK+KS+K+Q,0.25629198003663656,0.2565724943327183,0.0002805142960817242
np.log(tm)~KL+T+E+protein_length+S+pH+SK+KS+N+C,0.24786339838860524,0.265838750335296,0.017975351946690782
np.log(tm)~KL+T+E+protein_length+S+pH+SK+KS+N+Q,0.2483464280186269,0.25842520901563537,0.010078780997008457
np.log(tm)~KL+T+E+protein_length+S+pH+SK+KS+C+Q,0.2483689734897701,0.26190077145144747,0.013531797961677361
np.log(tm)~KL+T+E+protein_length+S+pH+SK+ST+K+N,0.25485179180555434,0.2661875315667591,0.011335739761204777
np.log(tm)~KL+T+E+protein_length+S+pH+SK+ST+K+C,0.25583399011152097,0.2691776168716169,0.013343626760095928
np.log(tm)~KL+T+E+protein_length+S+pH+SK+ST+K+Q,0.25761816024282297,0.2618246776938846,0.004206517451061653
np.log(tm)~KL+T+E+protein_length+S+pH+SK+ST+N+C,0.24609917807874016,0.27032058698807404,0.024221408909333886
np.log(tm)~KL+T+E+protein_length+S+pH+SK+ST+N+Q,0.24599878476514173,0.2646286016071763,0.018629816842034547
np.log(tm)~KL+T+E+protein_length+S+pH+SK+ST+C+Q,0.2462756590821439,0.26899093013493774,0.022715271052793834
np.log(tm)~KL+T+E+protein_length+S+pH+SK+K+N+C,0.2524103063278724,0.26483699981815323,0.012426693490280805
np.log(tm)~KL+T+E+protein_length+S+pH+SK+K+N+Q,0.25401152447041697,0.25745285146478536,0.0034413269943683877
np.log(tm)~KL+T+E+protein_length+S+pH+SK+K+C+Q,0.2547882727744564,0.26005751530801546,0.005269242533559038
np.log(tm)~KL+T+E+protein_length+S+pH+SK+N+C+Q,0.2435190502524168,0.26319171047398643,0.019672660221569632
np.log(tm)~KL+T+E+protein_length+S+pH+KS+ST+K+N,0.2544534050732767,0.2612875912656008,0.006834186192324121
np.log(tm)~KL+T+E+protein_length+S+pH+KS+ST+K+C,0.2554962454772425,0.26394334208626435,0.008447096609021876
np.log(tm)~KL+T+E+protein_length+S+pH+KS+ST+K+Q,0.2572529316076984,0.2568384576311886,0.00041447397650978823
np.log(tm)~KL+T+E+protein_length+S+pH+KS+ST+N+C,0.24424306066730506,0.26075393624935095,0.016510875582045892
np.log(tm)~KL+T+E+protein_length+S+pH+KS+ST+N+Q,0.24421893568398417,0.25537840043557514,0.011159464751590964
np.log(tm)~KL+T+E+protein_length+S+pH+KS+ST+C+Q,0.2444124495590992,0.2590321394139093,0.014619689854810103
np.log(tm)~KL+T+E+protein_length+S+pH+KS+K+N+C,0.2525140623277991,0.259940265714001,0.007426203386201868
np.log(tm)~KL+T+E+protein_length+S+pH+KS+K+N+Q,0.2543492386939672,0.2529910484996081,0.0013581901943591213
np.log(tm)~KL+T+E+protein_length+S+pH+KS+K+C+Q,0.255049117813841,0.25536645293081195,0.0003173351169709626
np.log(tm)~KL+T+E+protein_length+S+pH+KS+N+C+Q,0.24286411425761506,0.25451435269236294,0.011650238434747884
np.log(tm)~KL+T+E+protein_length+S+pH+ST+K+N+C,0.25315169242994534,0.26457071469058757,0.011419022260642231
np.log(tm)~KL+T+E+protein_length+S+pH+ST+K+N+Q,0.2547129307856903,0.2578770849499063,0.0031641541642160043
np.log(tm)~KL+T+E+protein_length+S+pH+ST+K+C+Q,0.2561736399843112,0.26153858639325395,0.00536494640894275
np.log(tm)~KL+T+E+protein_length+S+pH+ST+N+C+Q,0.23556095597312335,0.2585127363688583,0.02295178039573495
np.log(tm)~KL+T+E+protein_length+S+pH+K+N+C+Q,0.25154291936202744,0.25547931258270723,0.00393639322067979
np.log(tm)~KL+T+E+protein_length+S+D+SK+KS+ST+K,0.26654290050253016,0.27825357680328705,0.011710676300756895
np.log(tm)~KL+T+E+protein_length+S+D+SK+KS+ST+N,0.2617828964582784,0.28051480865267053,0.01873191219439213
np.log(tm)~KL+T+E+protein_length+S+D+SK+KS+ST+C,0.26260387194381246,0.2837500955981559,0.021146223654343432
np.log(tm)~KL+T+E+protein_length+S+D+SK+KS+ST+Q,0.2638448807671651,0.27625882996254225,0.012413949195377139
np.log(tm)~KL+T+E+protein_length+S+D+SK+KS+K+N,0.26251129353971686,0.27251606706168713,0.010004773521970267
np.log(tm)~KL+T+E+protein_length+S+D+SK+KS+K+C,0.26334381037308413,0.2741612542567311,0.010817443883646971
np.log(tm)~KL+T+E+protein_length+S+D+SK+KS+K+Q,0.2645341419813517,0.2659912703556856,0.0014571283743338714
np.log(tm)~KL+T+E+protein_length+S+D+SK+KS+N+C,0.25867170310676163,0.2774918492596712,0.018820146152909556
np.log(tm)~KL+T+E+protein_length+S+D+SK+KS+N+Q,0.25876606014966463,0.2706195651129486,0.011853504963283967
np.log(tm)~KL+T+E+protein_length+S+D+SK+KS+C+Q,0.2600465756079852,0.2723880080212553,0.01234143241327007
np.log(tm)~KL+T+E+protein_length+S+D+SK+ST+K+N,0.26517465100898635,0.27833872641939095,0.013164075410404597
np.log(tm)~KL+T+E+protein_length+S+D+SK+ST+K+C,0.26655524462804037,0.2804117140399212,0.013856469411880845
np.log(tm)~KL+T+E+protein_length+S+D+SK+ST+K+Q,0.2671150383677748,0.2728770867399459,0.005762048372171091
np.log(tm)~KL+T+E+protein_length+S+D+SK+ST+N+C,0.25848768964900515,0.2835613764695567,0.025073686820551555
np.log(tm)~KL+T+E+protein_length+S+D+SK+ST+N+Q,0.25840312677063065,0.278488940672521,0.020085813901890348
np.log(tm)~KL+T+E+protein_length+S+D+SK+ST+C+Q,0.25951727922811363,0.28124220454178644,0.021724925313672816
np.log(tm)~KL+T+E+protein_length+S+D+SK+K+N+C,0.26139176892872656,0.2734656041015822,0.012073835172855651
np.log(tm)~KL+T+E+protein_length+S+D+SK+K+N+Q,0.2610033463733615,0.26556478633646824,0.0045614399631067615
np.log(tm)~KL+T+E+protein_length+S+D+SK+K+C+Q,0.26246812291891153,0.2672567662737813,0.0047886433548697815
np.log(tm)~KL+T+E+protein_length+S+D+SK+N+C+Q,0.2538823068750285,0.2734516515204359,0.019569344645407383
np.log(tm)~KL+T+E+protein_length+S+D+KS+ST+K+N,0.26399485139639,0.27318734624577046,0.00919249484938045
np.log(tm)~KL+T+E+protein_length+S+D+KS+ST+K+C,0.2656661920807153,0.27519595833419563,0.009529766253480343
np.log(tm)~KL+T+E+protein_length+S+D+KS+ST+K+Q,0.26639152740278943,0.26712260011232986,0.0007310727095404257
np.log(tm)~KL+T+E+protein_length+S+D+KS+ST+N+C,0.25596549730347656,0.27411223942903923,0.018146742125562665
np.log(tm)~KL+T+E+protein_length+S+D+KS+ST+N+Q,0.2557403862151197,0.2688171148454434,0.01307672863032372
np.log(tm)~KL+T+E+protein_length+S+D+KS+ST+C+Q,0.25760307852267533,0.2715220062416363,0.013918927718960972
np.log(tm)~KL+T+E+protein_length+S+D+KS+K+N+C,0.260972805513484,0.2692622888294908,0.008289483316006818
np.log(tm)~KL+T+E+protein_length+S+D+KS+K+N+Q,0.2609386588374952,0.26146239775821634,0.0005237389207211618
np.log(tm)~KL+T+E+protein_length+S+D+KS+K+C+Q,0.2627048187201464,0.2632351830282397,0.000530364308093334
np.log(tm)~KL+T+E+protein_length+S+D+KS+N+C+Q,0.2525891260388345,0.2644459017500095,0.011856775711174994
np.log(tm)~KL+T+E+protein_length+S+D+ST+K+N+C,0.26278024807992095,0.27423291168131975,0.011452663601398794
np.log(tm)~KL+T+E+protein_length+S+D+ST+K+N+Q,0.26323389474569714,0.2682013136301885,0.00496741888449137
